Unnamed: 0,CustomerID,Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,AdvertisingPlatform,AdvertisingTool,Conversion
3409,CUST3410,18-21,1,122138-131421,facebook ads,Consideration,2364.5640897889384,0.2241645725582138,0.0405397650202723,23,7.498111676453972,5.11396056273156,97,12-13,5,0-4,4777,isConfid,isConfid,1
5731,CUST5732,18-21,1,122138-131421,bing,Awareness,9986.786497807989,0.1710620802496349,0.0239617113693219,23,5.432054809327902,13.448733728275286,44,12-13,2,0-4,1417,isConfid,isConfid,1
7463,CUST7464,18-21,0,122138-131421,online directory,Conversion,5420.812492816048,0.2681952243537875,0.1153109820944611,40,6.293171942957285,14.257908382278972,64,12-13,0,0-4,1834,isConfid,isConfid,1
1999,CUST2000,18-21,0,122138-131421,blog,Retention,6499.817842135922,0.0140900460026161,0.1168774087477573,7,6.219276235158558,7.738649081477508,43,12-13,4,0-4,1107,isConfid,isConfid,1
756,CUST0757,18-21,0,122138-131421,blog,Awareness,4148.565266459065,0.2253974693013766,0.0735486686326092,44,3.6891393872459832,6.022708464843097,23,0-1,3,0-4,353,isConfid,isConfid,1
2231,CUST2232,18-21,0,122138-131421,affiliate,Awareness,986.8137805194644,0.1639639171485171,0.1518070761772636,43,9.854808489058648,7.216752267332078,32,0-1,1,0-4,3858,isConfid,isConfid,1
3522,CUST3523,18-21,0,122138-131421,linkedin ads,Consideration,9582.360243791136,0.2718448468312617,0.042687868478276,12,8.378197735259075,12.639432887118618,90,0-1,0,0-4,1482,isConfid,isConfid,1
3894,CUST3895,18-21,0,122138-131421,bing ads,Awareness,4453.188120417973,0.2286269968614872,0.1383958313804269,43,1.8855196001601768,0.8369972647412242,68,0-1,3,0-4,2419,isConfid,isConfid,1
4574,CUST4575,18-21,1,122138-131421,linkedin ads,Retention,4840.07839735383,0.0338260047733364,0.0893323149168021,10,9.208853147677086,8.084059977434453,22,0-1,4,5-9,2795,isConfid,isConfid,1
4638,CUST4639,18-21,1,122138-131421,news portal,Awareness,8102.775564483384,0.0979893645523972,0.1118598296670171,21,2.3426947208780886,13.203347503060543,13,0-1,1,0-4,1064,isConfid,isConfid,0
5994,CUST5995,18-21,0,122138-131421,protonmail,Consideration,937.6910805435082,0.2404369611920472,0.0502156680988285,5,2.898371179836048,13.950585125751957,88,0-1,2,0-4,498,isConfid,isConfid,0
7296,CUST7297,18-21,1,122138-131421,yahoo,Conversion,8234.67139455405,0.1966507572067212,0.0724836103151726,0,8.430884595593627,1.6483393544538891,3,0-1,1,5-9,3575,isConfid,isConfid,0
7373,CUST7374,18-21,0,122138-131421,instagram,Retention,5310.041787063016,0.0346005320816659,0.1038297476796515,29,5.420460415114324,6.72060920309208,74,0-1,0,0-4,4662,isConfid,isConfid,1
5112,CUST5113,18-21,1,122138-131421,yahoo,Retention,2818.202443624336,0.2727265311950133,0.0382667767910278,0,3.764990795006088,14.486136886426252,83,0-1,5,5-9,4259,isConfid,isConfid,1
7953,CUST7954,18-21,0,122138-131421,protonmail,Awareness,3310.095652283181,0.0408632899785815,0.0161476645427479,24,9.523722317214864,6.469414422803778,90,10-11,2,0-4,2574,isConfid,isConfid,0
4098,CUST4099,18-21,0,122138-131421,duckduckgo,Conversion,5498.127148098008,0.0867433170126733,0.0214700285212044,36,2.3017986751361112,6.089108029003962,7,10-11,7,5-9,3469,isConfid,isConfid,1
3572,CUST3573,18-21,1,122138-131421,online directory,Awareness,4530.227859831993,0.2660715955307663,0.0705342982848903,2,1.94512019250397,14.557842436889995,45,10-11,3,0-4,2126,isConfid,isConfid,1
2750,CUST2751,18-21,1,122138-131421,blog,Awareness,1921.1084127874867,0.10576298555504,0.0191492013585851,36,8.012311127572966,8.584999614511263,53,10-11,5,0-4,4109,isConfid,isConfid,1
5577,CUST5578,18-21,0,122138-131421,twitter ads,Awareness,5341.716874669707,0.2393338011047791,0.0167927979738579,7,8.240643435929883,13.452873681109804,1,18-19,9,5-9,3962,isConfid,isConfid,1
4057,CUST4058,18-21,0,122138-131421,facebook ads,Conversion,4640.058407909262,0.079531387993632,0.1660820120597709,15,6.01991908807089,6.280495123831775,78,18-19,7,0-4,1961,isConfid,isConfid,1
2571,CUST2572,18-21,0,122138-131421,twitter ads,Consideration,4067.1357411552863,0.0612218372544468,0.1116945771502413,8,9.359548894345233,1.0636606897324674,86,18-19,7,0-4,2942,isConfid,isConfid,0
849,CUST0850,18-21,1,122138-131421,online directory,Conversion,1775.7488763708257,0.1547274186124462,0.1219722282220145,46,4.037024038276726,3.430965786804563,87,18-19,8,0-4,1373,isConfid,isConfid,1
