Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,CustomerID,Age,Gender,Income,CampaignChannel,CampaignType,AdSpend,ClickThroughRate,ConversionRate,WebsiteVisits,PagesPerVisit,TimeOnSite,SocialShares,EmailOpens,EmailClicks,PreviousPurchases,LoyaltyPoints,AdvertisingPlatform,AdvertisingTool,Conversion
18,18,18,18,18,CUST0019,18-21,0,112854-122137,google ads,Conversion,3873.974643393994,0.14827481932376044,0.03347028251616506,7,2.950717980898685,8.650315910563435,92,8-9,4,5-9,2222,isConfid,isConfid,1
19,19,19,19,19,CUST0020,38-41,0,66434-75717,bing ads,Consideration,8510.04756280726,0.29228554696810727,0.04836607238748098,35,9.866507785494287,1.6120547642471463,36,6-7,7,0-4,3644,isConfid,isConfid,1
20,20,20,20,20,CUST0021,58-61,0,85002-94285,twitter ads,Consideration,3670.7390551189355,0.12293434090358688,0.029241209768948017,25,6.589446098372727,6.994549359619753,41,4-5,1,5-9,1651,isConfid,isConfid,1
21,21,21,21,21,CUST0022,46-49,0,112854-122137,google,Consideration,8214.06165741435,0.25541731316811106,0.01127845683482561,36,9.618222639980921,1.473060483798829,63,14-15,0,5-9,2586,isConfid,isConfid,1
22,22,22,22,22,CUST0023,54-57,1,57150-66433,yahoo,Consideration,6550.929349439623,0.2551120413435676,0.13820265002406523,14,3.472466321607261,13.202769800906031,94,14-15,6,5-9,1989,isConfid,isConfid,1
23,23,23,23,23,CUST0024,18-21,0,66434-75717,online directory,Conversion,5255.506297263432,0.07032726198963841,0.061497958040553025,33,6.696825708015709,2.0850351819476773,18,4-5,5,0-4,1417,isConfid,isConfid,1
24,24,24,24,24,CUST0025,38-41,0,112854-122137,whatsapp,Awareness,2510.518145599462,0.03889471847109166,0.03510639542606359,20,7.979421370654513,7.144328312622669,22,14-15,3,0-4,1563,isConfid,isConfid,1
25,25,25,25,25,CUST0026,50-53,0,140706-149989,bing ads,Conversion,9179.957130362678,0.2947977283428071,0.07421045954709733,22,1.681191072965959,7.677279415316111,70,16-17,3,0-4,2227,isConfid,isConfid,1
26,26,26,26,26,CUST0027,26-29,1,75718-85001,protonmail,Consideration,761.6787460566236,0.13711045860125698,0.1022841651100749,8,7.105725834182461,8.152790721403603,5,4-5,5,0-4,129,isConfid,isConfid,0
27,27,27,27,27,CUST0028,38-41,1,94286-103569,instagram,Retention,6804.949023165352,0.01092993157333882,0.10560700979526436,39,2.610119243546365,9.783641229362305,98,16-17,6,0-4,2688,isConfid,isConfid,1
28,28,28,28,28,CUST0029,58-61,0,20014-29297,blog,Retention,6620.522611138442,0.1467127847698064,0.07587967341464119,25,3.8188652313959515,10.951592669215595,92,16-17,1,0-4,68,isConfid,isConfid,1
29,29,29,29,29,CUST0030,42-45,0,131422-140705,affiliate,Conversion,4495.961469050139,0.19105687734342913,0.10617052510634056,42,7.536765073373951,0.6404181506983895,54,18-19,6,0-4,3079,isConfid,isConfid,1
30,30,30,30,30,CUST0031,66-69,1,66434-75717,google ads,Awareness,2422.693216191175,0.2393471092251848,0.09005097389458366,21,4.816558985876369,1.0862282046607414,76,18-19,9,0-4,1011,isConfid,isConfid,1
31,31,31,31,31,CUST0032,42-45,1,103570-112853,online directory,Consideration,4436.283016036043,0.28269070602689184,0.1679190131292839,12,9.409701671486626,9.381196195312729,38,12-13,6,0-4,911,isConfid,isConfid,1
32,32,32,32,32,CUST0033,58-61,0,38582-47865,partner site,Awareness,8622.149039654767,0.28478993958339915,0.008970868284893345,24,3.201868075587558,3.2436456369129756,24,10-11,5,5-9,4683,isConfid,isConfid,1
33,33,33,33,33,CUST0034,42-45,0,103570-112853,facebook,Awareness,8421.86636186207,0.2829229492180956,0.17014831181455808,6,2.4858522526978906,12.468756056485233,97,14-15,2,0-4,467,isConfid,isConfid,1
34,34,34,34,34,CUST0035,30-33,1,122138-131421,facebook,Awareness,9550.728612990753,0.024273293826319875,0.05667569695478066,26,4.195708284380888,9.398697060080575,82,4-5,7,5-9,653,isConfid,isConfid,1
35,35,35,35,35,CUST0036,30-33,0,122138-131421,linkedin ads,Consideration,3391.3519785518433,0.210795118623861,0.1430856366820718,14,8.681444870223121,14.719732324480857,3,10-11,0,0-4,2429,isConfid,isConfid,1
36,36,36,36,36,CUST0037,62-65,1,112854-122137,protonmail,Conversion,4167.251084581247,0.07228866581281093,0.08352813124933794,11,8.446988032896392,10.927747356693985,87,2-3,7,0-4,1066,isConfid,isConfid,1
37,37,37,37,37,CUST0038,66-69,1,122138-131421,facebook ads,Consideration,369.6796738551776,0.061535201054794014,0.062341009635896824,44,4.374546019747272,1.4031619816401297,32,14-15,6,0-4,257,isConfid,isConfid,1
38,38,38,38,38,CUST0039,58-61,0,140706-149989,bing,Consideration,9307.837644682986,0.24072691680167244,0.12895169247046537,32,8.453898588484021,2.7963563233782356,65,14-15,1,5-9,4709,isConfid,isConfid,1
39,39,39,39,39,CUST0040,66-69,1,140706-149989,blog,Conversion,3658.921285738072,0.1309534936984424,0.1568664431038815,20,1.7975708427628572,1.2609661127600422,1,12-13,0,0-4,2885,isConfid,isConfid,1
40,40,40,40,40,CUST0041,18-21,0,57150-66433,zoho,Conversion,4005.716596083669,0.2792197078478795,0.09721316280853964,24,1.108598123439243,11.620091400750258,13,4-5,7,0-4,1476,isConfid,isConfid,1
41,41,41,41,41,CUST0042,54-57,0,20014-29297,tiktok,Conversion,9132.432503599031,0.02334502685728852,0.09704705032536651,39,8.701322685071231,2.408962599046659,49,14-15,3,0-4,3243,isConfid,isConfid,1
42,42,42,42,42,CUST0043,66-69,0,140706-149989,google,Retention,5215.412777065037,0.2361076526015204,0.022154955611833886,46,8.798416631086432,9.99980453466989,10,8-9,9,5-9,3513,isConfid,isConfid,1
43,43,43,43,43,CUST0044,22-25,1,38582-47865,bing,Retention,5915.5385817768,0.050440236476650344,0.18871041675922887,21,2.175187530054208,8.506809043947761,33,4-5,9,0-4,913,isConfid,isConfid,0
44,44,44,44,44,CUST0045,38-41,1,131422-140705,online directory,Conversion,1811.455388049001,0.052785604646459844,0.17338467952108622,13,3.8341854541540332,9.397395969150766,37,14-15,8,5-9,2136,isConfid,isConfid,1
45,45,45,45,45,CUST0046,26-29,1,112854-122137,instagram,Awareness,4925.271476890049,0.1445112311016137,0.08973359822006706,7,8.85431575794563,7.801374335480637,91,14-15,3,0-4,284,isConfid,isConfid,1
46,46,46,46,46,CUST0047,54-57,0,112854-122137,outlook,Retention,9149.156421253678,0.12125999800761739,0.15477497298214962,23,1.9387690983882095,0.2785608659861351,38,18-19,7,0-4,4275,isConfid,isConfid,1
47,47,47,47,47,CUST0048,34-37,0,85002-94285,tiktok,Consideration,5403.8368216516255,0.14346880305342455,0.06881810193196167,2,8.891509244437138,4.102361250518757,21,2-3,7,5-9,3388,isConfid,isConfid,1
48,48,48,48,48,CUST0049,18-21,0,112854-122137,news portal,Consideration,2433.922108128931,0.2882571490089682,0.14763902022986403,11,6.242379414167894,13.25844500276044,41,18-19,0,5-9,883,isConfid,isConfid,1
49,49,49,49,49,CUST0050,42-45,0,122138-131421,yahoo,Retention,364.1663006378727,0.20103736962814697,0.11032465195766429,46,6.8298753581405,13.77916648538013,96,16-17,4,5-9,3404,isConfid,isConfid,1
50,50,50,50,50,CUST0051,30-33,0,38582-47865,online directory,Consideration,3470.1171174075753,0.08345527607502756,0.10064269423316355,21,6.428483526980325,2.120332709230142,94,18-19,3,5-9,4788,isConfid,isConfid,1
51,51,51,51,51,CUST0052,66-69,0,94286-103569,linkedin ads,Conversion,6056.758841186053,0.057918945220107466,0.01849678115585553,15,6.476461518872863,14.489342475250234,56,0-1,3,5-9,4720,isConfid,isConfid,1
52,52,52,52,52,CUST0053,26-29,1,57150-66433,baidu,Consideration,410.31783589091935,0.12939931473368035,0.1911750291194304,6,2.7200861853840332,10.429833743630438,77,8-9,8,0-4,2124,isConfid,isConfid,1
53,53,53,53,53,CUST0054,42-45,1,47866-57149,online directory,Retention,5989.298455284058,0.14523762323405348,0.16716986471216658,17,3.1065750384468847,13.93828715100832,37,0-1,2,0-4,3219,isConfid,isConfid,1
54,54,54,54,54,CUST0055,18-21,0,20014-29297,yahoo,Awareness,5317.772728313176,0.1923574937944498,0.16091557044602786,44,6.205571967430991,6.628766778273702,8,2-3,7,5-9,4930,isConfid,isConfid,1
55,55,55,55,55,CUST0056,34-37,1,29298-38581,outlook,Consideration,7867.273253984765,0.09216034880934183,0.06736847503951507,22,4.376444384949297,2.4579938386953044,87,2-3,8,0-4,1977,isConfid,isConfid,1
56,56,56,56,56,CUST0057,42-45,1,29298-38581,zoho,Consideration,381.92016747551054,0.23321179671814002,0.06828684874692306,25,5.7637115278268025,5.157241135130888,28,4-5,7,5-9,3851,isConfid,isConfid,1
57,57,57,57,57,CUST0058,62-65,0,20014-29297,bing ads,Awareness,7730.102710947032,0.03185048962482079,0.1215134743640688,37,3.3267604121679466,10.434046352682769,68,4-5,3,0-4,336,isConfid,isConfid,1
58,58,58,58,58,CUST0059,22-25,0,66434-75717,twitter,Retention,5172.161913531912,0.1688930196587858,0.17168702779360376,1,5.1280446249355185,11.897959633758761,41,18-19,1,0-4,465,isConfid,isConfid,1
59,59,59,59,59,CUST0060,58-61,1,20014-29297,gmail,Awareness,3652.888099714328,0.18940227947884197,0.19151177487101098,1,2.350605510776791,1.2156186705129246,59,6-7,9,0-4,3434,isConfid,isConfid,1
60,60,60,60,60,CUST0061,22-25,0,112854-122137,twitter ads,Consideration,9613.092034220326,0.06981082767753219,0.06383717116849223,21,1.1868868925067018,7.459651970438585,38,6-7,6,0-4,1035,isConfid,isConfid,1
61,61,61,61,61,CUST0062,62-65,0,75718-85001,zoho,Retention,1766.1017569472924,0.24680720019005878,0.1247455075367472,37,9.446312278047557,1.415406516144063,90,18-19,2,5-9,2604,isConfid,isConfid,1
62,62,62,62,62,CUST0063,50-53,0,140706-149989,linkedin ads,Conversion,5281.7801457775195,0.1953363122798912,0.14485124724763077,41,7.428643559626105,12.929113250279022,71,12-13,5,0-4,716,isConfid,isConfid,1
63,63,63,63,63,CUST0064,30-33,1,112854-122137,outlook,Retention,3183.4758617606135,0.1907605909608916,0.05419895714208217,27,5.558185455617438,7.638806215542135,92,8-9,2,5-9,3979,isConfid,isConfid,1
64,64,64,64,64,CUST0065,34-37,1,131422-140705,tiktok,Retention,5352.018009213281,0.1479402502434793,0.08580342622614201,16,5.909923059609685,13.651846700926939,59,18-19,3,0-4,824,isConfid,isConfid,1
65,65,65,65,65,CUST0066,50-53,0,103570-112853,affiliate,Conversion,5427.89588596747,0.2695237905805249,0.047472097626744085,47,5.472434706717756,1.8968731413479687,52,6-7,1,0-4,125,isConfid,isConfid,1
66,66,66,66,66,CUST0067,66-69,0,47866-57149,yahoo,Retention,704.3464808980925,0.21375861010616123,0.14506623224694143,17,9.076763918578855,5.210196367339522,75,18-19,4,5-9,643,isConfid,isConfid,1
67,67,67,67,67,CUST0068,54-57,0,122138-131421,blog,Consideration,6576.922382605085,0.12113962022196727,0.17601477317994402,1,7.919076700156827,10.57134669709981,7,6-7,9,5-9,4051,isConfid,isConfid,1
68,68,68,68,68,CUST0069,18-21,0,85002-94285,yahoo,Consideration,6396.663396962533,0.07859352109931972,0.17912647505779108,34,3.9176238628349958,5.095516934174139,20,10-11,6,0-4,4280,isConfid,isConfid,1
69,69,69,69,69,CUST0070,18-21,1,103570-112853,linkedin,Consideration,7887.529312333887,0.03498235770550607,0.13798321862346313,14,2.779888601608692,12.677333358405642,55,2-3,1,0-4,3849,isConfid,isConfid,1
70,70,70,70,70,CUST0071,22-25,1,29298-38581,partner site,Consideration,1095.7618913922574,0.05955980659370543,0.07228820711908344,14,1.5485930938006354,14.731121529043966,47,16-17,4,0-4,1328,isConfid,isConfid,1
71,71,71,71,71,CUST0072,58-61,0,57150-66433,facebook ads,Conversion,3004.414534559496,0.29745202273784127,0.13766666105749656,43,2.3666819197459033,4.392188518170326,46,4-5,5,5-9,558,isConfid,isConfid,1
72,72,72,72,72,CUST0073,18-21,1,20014-29297,protonmail,Consideration,6591.959747219714,0.13672792391011607,0.17592643053069104,44,5.407361110337223,5.903605127821544,8,4-5,5,0-4,2761,isConfid,isConfid,1
73,73,73,73,73,CUST0074,46-49,1,57150-66433,yahoo,Retention,1556.804772935798,0.27939051026009687,0.12769561370657495,33,2.4791735340595045,14.307831318022544,77,14-15,1,0-4,2918,isConfid,isConfid,1
74,74,74,74,74,CUST0075,34-37,0,140706-149989,facebook ads,Awareness,6696.941383760496,0.06306476238033022,0.08699216724781147,49,3.820780554801452,5.594881329597983,0,8-9,1,5-9,3483,isConfid,isConfid,1
75,75,75,75,75,CUST0076,42-45,1,94286-103569,twitter,Conversion,822.2298809668375,0.13128380571192738,0.1842651603262287,14,2.392246639642576,8.40643593023895,54,18-19,1,5-9,11,isConfid,isConfid,1
76,76,76,76,76,CUST0077,58-61,1,38582-47865,yahoo,Conversion,3390.8419705576625,0.28787538284210423,0.17359756543010676,17,9.438310620927654,11.867395089222175,30,4-5,2,5-9,2751,isConfid,isConfid,1
77,77,77,77,77,CUST0078,50-53,0,94286-103569,zoho,Awareness,8221.028476859521,0.033056813229938614,0.17662955299442742,12,1.253822707880578,6.974955751911973,79,6-7,1,0-4,1964,isConfid,isConfid,1
78,78,78,78,78,CUST0079,26-29,1,57150-66433,google ads,Consideration,7691.008822515417,0.18056369870353103,0.1830203552509229,37,4.043762998905761,5.981711321475427,90,10-11,8,5-9,4031,isConfid,isConfid,1
79,79,79,79,79,CUST0080,50-53,1,29298-38581,baidu,Consideration,6781.05018531843,0.27230589314204734,0.08395049762107315,7,3.3467087442142045,7.588268734438466,10,14-15,9,5-9,65,isConfid,isConfid,1
80,80,80,80,80,CUST0081,30-33,0,85002-94285,zoho,Retention,8867.989647358885,0.28062902425817626,0.1729448736928634,15,0.9855783467687309,11.77152720280654,65,18-19,4,5-9,1998,isConfid,isConfid,1
81,81,81,81,81,CUST0082,46-49,0,94286-103569,affiliate,Consideration,7070.604327853867,0.2568780526292729,0.11391274572375377,19,9.379450958084927,5.053752852900713,59,2-3,8,5-9,590,isConfid,isConfid,1
82,82,82,82,82,CUST0083,62-65,1,85002-94285,linkedin ads,Consideration,5321.4401207153005,0.25450792282817347,0.018309109249829165,25,3.877962471148224,5.197734481222235,30,14-15,7,0-4,220,isConfid,isConfid,1
83,83,83,83,83,CUST0084,30-33,0,38582-47865,partner site,Retention,9821.611389991756,0.20394300076231753,0.1269435319111364,34,5.461349843705286,3.6363720649249633,49,14-15,4,0-4,4394,isConfid,isConfid,1
84,84,84,84,84,CUST0085,22-25,1,122138-131421,instagram,Consideration,6879.026959890938,0.07168614408558324,0.09808700522215805,16,6.114071577295306,10.891617789116054,59,10-11,6,5-9,928,isConfid,isConfid,1
85,85,85,85,85,CUST0086,30-33,0,47866-57149,yahoo,Awareness,5899.713762160853,0.21727959352351164,0.06313534870045877,25,6.723706819640084,13.198160583472314,87,4-5,1,0-4,1884,isConfid,isConfid,1
86,86,86,86,86,CUST0087,38-41,0,140706-149989,google ads,Consideration,4208.688261235859,0.2969194173663361,0.18883287717977187,17,4.927581002428134,3.1660406834786192,61,0-1,9,5-9,1530,isConfid,isConfid,1
87,87,87,87,87,CUST0088,54-57,0,103570-112853,outlook,Awareness,8989.365483112084,0.1648276285607574,0.017363412284592712,43,6.354618843600734,1.222645582533861,38,6-7,9,5-9,932,isConfid,isConfid,1
88,88,88,88,88,CUST0089,38-41,0,103570-112853,gmail,Awareness,3105.106992431185,0.08448568536160857,0.19074327361738688,6,7.794832421402217,6.035831823959812,2,14-15,6,0-4,3472,isConfid,isConfid,1
89,89,89,89,89,CUST0090,30-33,1,112854-122137,baidu,Awareness,265.7397517958654,0.1741793465575853,0.03797922143320261,43,9.509736116233631,6.1784236446253376,57,0-1,4,0-4,3242,isConfid,isConfid,1
90,90,90,90,90,CUST0091,62-65,1,57150-66433,affiliate,Consideration,2324.0530086780623,0.213795327973382,0.08155539753440891,34,6.9597241541659995,9.982626778356567,67,12-13,5,0-4,3897,isConfid,isConfid,1
91,91,91,91,91,CUST0092,34-37,0,38582-47865,blog,Consideration,1138.1470782730717,0.0640908105489134,0.08960591897288075,11,5.010705887250523,1.808616768890586,29,2-3,8,5-9,1288,isConfid,isConfid,1
92,92,92,92,92,CUST0093,62-65,1,20014-29297,google ads,Conversion,3098.8813073084984,0.21421426392486423,0.14599776441944312,46,5.082789226004515,12.487350682171842,66,0-1,7,5-9,2324,isConfid,isConfid,1
93,93,93,93,93,CUST0094,38-41,1,20014-29297,facebook ads,Retention,8301.720677250354,0.18181968471421295,0.054061208420400526,48,6.982480114595327,9.05252903323239,67,4-5,1,5-9,2368,isConfid,isConfid,1
94,94,94,94,94,CUST0095,42-45,0,20014-29297,affiliate,Retention,6370.180135629698,0.1961930528568565,0.19707420207296,43,6.7548482714868,8.514090655880748,57,14-15,9,5-9,3006,isConfid,isConfid,1
95,95,95,95,95,CUST0096,42-45,0,131422-140705,linkedin ads,Conversion,1655.0679044035653,0.09138507503200363,0.15705280455855378,40,4.895115748319287,5.122916934008075,76,18-19,5,5-9,72,isConfid,isConfid,1
96,96,96,96,96,CUST0097,62-65,0,75718-85001,online directory,Awareness,7855.571322980908,0.05558786958566822,0.16178643797354128,0,4.13953004577774,5.902362516699875,52,10-11,0,0-4,3482,isConfid,isConfid,1
97,97,97,97,97,CUST0098,58-61,1,20014-29297,google,Retention,4903.504508687008,0.1950547962519675,0.030272698963736442,24,9.958327025586184,1.1933283232393561,13,8-9,7,0-4,205,isConfid,isConfid,1
98,98,98,98,98,CUST0099,46-49,0,122138-131421,twitter ads,Conversion,5202.81906132299,0.17521096659360907,0.10094045423265739,15,7.714092504273225,11.347053219647705,9,4-5,0,0-4,2595,isConfid,isConfid,1
99,99,99,99,99,CUST0100,30-33,1,57150-66433,partner site,Awareness,3689.297412116653,0.10486689225708608,0.18567714571893143,14,3.0100998081477472,8.964183816596163,77,8-9,1,0-4,3514,isConfid,isConfid,1
100,100,100,100,100,CUST0101,62-65,1,94286-103569,linkedin ads,Conversion,8602.49783848523,0.10183978654316742,0.05867024021162451,10,3.660920935453973,14.405965342751605,80,0-1,3,0-4,2398,isConfid,isConfid,1
101,101,101,101,101,CUST0102,18-21,0,140706-149989,zoho,Consideration,3214.9155267299134,0.11424200983846224,0.03908816304624571,36,9.243018369146084,6.077781135158391,21,0-1,9,5-9,4525,isConfid,isConfid,1
102,102,102,102,102,CUST0103,42-45,1,47866-57149,gmail,Consideration,928.1677091990698,0.1599615881598072,0.0999352972067985,38,6.826030228602529,10.160177274437709,62,8-9,1,5-9,1506,isConfid,isConfid,1
103,103,103,103,103,CUST0104,22-25,1,112854-122137,facebook,Awareness,3006.9202267237774,0.2878171559629097,0.1863951940214739,2,3.7744332901157174,13.472098198678111,60,2-3,4,0-4,1821,isConfid,isConfid,1
104,104,104,104,104,CUST0105,26-29,0,38582-47865,partner site,Awareness,6995.438853077978,0.22727338456546978,0.09805090155277149,44,4.308257972837438,11.192807820263479,45,16-17,6,5-9,272,isConfid,isConfid,1
105,105,105,105,105,CUST0106,38-41,1,75718-85001,whatsapp,Consideration,6628.871761575756,0.2539693515978155,0.0845094483123359,44,4.448621845338677,0.9380138545846404,36,10-11,6,5-9,360,isConfid,isConfid,1
106,106,106,106,106,CUST0107,18-21,1,112854-122137,partner site,Retention,1889.6977317790215,0.1592615769574187,0.13771213784851116,41,2.728127239807262,10.048681674194267,20,14-15,9,5-9,4403,isConfid,isConfid,1
107,107,107,107,107,CUST0108,58-61,1,20014-29297,google ads,Retention,1056.2353699737914,0.16327966989575418,0.18645827103920254,38,5.697516899649023,8.602681976982595,88,12-13,4,5-9,3502,isConfid,isConfid,1
108,108,108,108,108,CUST0109,22-25,0,66434-75717,online directory,Consideration,6636.417336954711,0.0685650055942965,0.017663225291949892,19,7.956551663001949,8.037994845670559,2,8-9,2,5-9,2395,isConfid,isConfid,1
109,109,109,109,109,CUST0110,38-41,0,94286-103569,protonmail,Retention,6840.3177909905,0.2222557060090994,0.03449937538901973,22,5.9254130042530155,8.77349708111196,18,4-5,4,5-9,2647,isConfid,isConfid,1
110,110,110,110,110,CUST0111,26-29,0,29298-38581,google ads,Consideration,3746.0670820058804,0.1344176287280721,0.03393129757184614,14,7.051786739616532,7.127260571965945,31,18-19,3,5-9,3426,isConfid,isConfid,1
111,111,111,111,111,CUST0112,66-69,0,20014-29297,gmail,Conversion,8417.846613522319,0.22802032936204322,0.032976316951531415,17,6.164609931312724,10.375390337185651,78,18-19,5,5-9,603,isConfid,isConfid,1
112,112,112,112,112,CUST0113,34-37,0,94286-103569,linkedin ads,Conversion,10238.88660705997,0.13385625034443352,0.06466666132745057,38,1.6585119600371778,1.0211608027820782,23,10-11,0,0-4,3469,isConfid,isConfid,1
113,113,113,113,113,CUST0114,22-25,0,66434-75717,online directory,Conversion,1821.0111643666191,0.033355587029026586,0.052768689263085686,34,2.650580611970588,3.411434758957271,72,8-9,0,0-4,4643,isConfid,isConfid,0
114,114,114,114,114,CUST0115,50-53,1,122138-131421,blog,Retention,5874.585118245187,0.062418089007693946,0.11362025607479798,28,4.193284018319316,6.147752420799797,73,2-3,7,5-9,162,isConfid,isConfid,1
115,115,115,115,115,CUST0116,50-53,1,75718-85001,outlook,Conversion,268.9442711489487,0.2500942831939215,0.07181048882123335,19,8.923330537079577,7.470578050037142,47,2-3,5,5-9,1669,isConfid,isConfid,1
116,116,116,116,116,CUST0117,50-53,0,94286-103569,baidu,Awareness,6862.520032550097,0.08661947777704526,0.08854555595579708,41,3.9968477013748416,2.5289718743062104,95,0-1,8,5-9,1981,isConfid,isConfid,1
117,117,117,117,117,CUST0118,22-25,1,29298-38581,affiliate,Awareness,4029.452646003041,0.08797704998650997,0.18687384485964437,14,4.085599688459207,12.247755690821945,57,6-7,9,5-9,4669,isConfid,isConfid,1
118,118,118,118,118,CUST0119,58-61,0,38582-47865,yahoo,Conversion,1669.6309448579045,0.2837912451419028,0.03605577485671265,31,1.6046620532375004,14.297573117544198,39,10-11,0,5-9,2597,isConfid,isConfid,1
119,119,119,119,119,CUST0120,54-57,0,140706-149989,google ads,Awareness,7498.358709451871,0.20866758210423847,0.08173794541535537,11,9.494620775109176,11.63114652842063,6,14-15,6,0-4,4820,isConfid,isConfid,1
120,120,120,120,120,CUST0121,58-61,0,112854-122137,google,Conversion,8096.110873166303,0.04598725132904428,0.0632763007885159,47,7.930720734430888,13.938216404915002,45,8-9,0,0-4,3803,isConfid,isConfid,1
121,121,121,121,121,CUST0122,42-45,0,29298-38581,zoho,Conversion,1190.1551840374477,0.05880713090397135,0.11767574777058493,11,7.9876224783048055,11.567692299530496,90,14-15,6,5-9,3336,isConfid,isConfid,1
122,122,122,122,122,CUST0123,22-25,0,140706-149989,twitter,Consideration,716.6834633970116,0.09355965304955051,0.15083497277948824,24,4.612840420409011,6.768078923896806,14,0-1,6,0-4,4108,isConfid,isConfid,1
123,123,123,123,123,CUST0124,26-29,1,94286-103569,tiktok,Conversion,3543.2641558981622,0.18849690700954366,0.16249891953759577,33,1.6739279549663812,6.233656365871404,84,10-11,7,5-9,3310,isConfid,isConfid,1
124,124,124,124,124,CUST0125,22-25,0,112854-122137,gmail,Awareness,6302.564613316308,0.2293673756863058,0.10616936925854124,7,3.3886956636206036,2.800794565577975,73,14-15,4,5-9,4974,isConfid,isConfid,1
